Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon
18,2016,2016-July,6,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59567268,-149.8408034,354.18,539.29,305.04,106.85,940.67,Vai'anae/Atiha,SW,Reef pass,Maatea
19,2016,2016-July,5.69,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.59828926,-149.8398006,193.07,735.46,334.74,282.26,1236.87,Vai'anae/Atiha,SW,Reef crest,Maatea
20,2016,2016-July,5.31,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.60238365,-149.8303391,222.85,1215.01,1419.62,1366.33,2079.74,Vai'anae/Atiha,SW,Reef crest,Maatea
21,2016,2016-July,5.46,0.37,NA,NA,NA,NA,NA,NA,NA,NA,-17.59344385,-149.826245,1240.68,142.84,1829.11,1610.68,1925.87,Vai'anae/Atiha,SW,Fringing reef,Maatea
22,2016,2016-July,4.98,0.31,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea
23,2016,2016-July,4.47,0.38,NA,NA,NA,NA,NA,NA,NA,NA,-17.5924521,-149.8151988,1379.78,115.13,3586.43,209.77,450.28,Ma'atea,SW,Fringing reef,Maatea
24,2016,2016-July,4.82,0.29,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea
25,2016,2016-July,4.27,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea
26,2016,2016-July,4.49,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea
27,2016,2016-July,6.31,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.21,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea
28,2016,2016-July,4.21,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.78,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea
29,2016,2016-July,6.88,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea
30,2016,2016-July,4.8,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59837987,-149.8107668,716.16,718.52,3507.52,389.04,718.52,Ma'atea,SW,Mid lagoon,Maatea
